d45e497 was Syukri Zainal, 2 minutes ago, message: Fixed
2d365e4 was Syukri Zainal, 8 days ago, message: Added question set table and created relationships
713a493 was Syukri Zainal, 8 days ago, message: Added Question set form
d134440 was Ahbar Sakib, 8 days ago, message: Test commit
d231f6e was Ahbar Sakib, 8 days ago, message: No major changes (Added and removed)
78e5e04 was Ahbar Sakib, 8 days ago, message: Commented the googleMaps JS API to display how it is used in the quiz webpage
5742b9a was Ahbar Sakib, 8 days ago, message: Modified the element class names
7e8e569 was Ahbar Sakib, 8 days ago, message: Implemented JS to render the quiz page and googleMaps
3e7223d was Ahbar Sakib, 8 days ago, message: Removed unecessary scripts from the quiz html page
968c2d2 was Ahbar Sakib, 8 days ago, message: Webpage rendered by quiz.js
2ef6e34 was Ahbar Sakib, 8 days ago, message: Merge branch 'master' of https://github.com/msyukri-zaidin/CITS3403-Project-1
22b0469 was Ahbar Sakib, 8 days ago, message: Modified the stylesheet to add some classes and change attributes
02997e6 was Syukri Zainal, 10 days ago, message: Added HTML for container nav bar and new form inputs, changed element names to follow naming conventions
333800e was Syukri Zainal, 10 days ago, message: Added styling for container nav bar and form inputs, changed element names to follow naming conventions
4324cb2 was Syukri Zainal, 10 days ago, message: Added logic for dropdown menu form inputs
ddc6190 was Syukri Zainal, 10 days ago, message: Improved question assignment
90b5b08 was Syukri Zainal, 10 days ago, message: Added question type field
b7a9770 was Syukri Zainal, 11 days ago, message: Replaced multiple divs with jinja and removed unused code
0c5d0ae was Syukri Zainal, 11 days ago, message: Removed unused styles
fffe603 was Syukri Zainal, 11 days ago, message: Improved code for drag & drop functionality, added post method for sending question data to flask app and added comments
24ad0a8 was Syukri Zainal, 11 days ago, message: Removed print statements, added route for getting new question data and added code for filtering current questions from questionPool table
cb8e304 was Syukri Zainal, 11 days ago, message: Removed difficulty column and added CurrentQuestion table
eed464a was Syukri Zainal, 11 days ago, message: Removed difficulty column
714c8e5 was Syukri Zainal, 11 days ago, message: Updated database with CurrentQuestion table
12c0b92 was Danish Firdaus, 12 days ago, message: mostly js functinality for home page
14a2f4a was Danish Firdaus, 13 days ago, message: Updated home page on 13 May
2f3271a was Danish Firdaus, 2 weeks ago, message: added in welcome banner
043c4f7 was Syukri, 2 weeks ago, message: Added more files to ignore
b0ab401 was Syukri, 2 weeks ago, message: Initial commit
eb3a16e was Syukri, 2 weeks ago, message: Initial commit
33411b4 was Syukri, 2 weeks ago, message: Added a line to set environment variable
ed91ee3 was Syukri, 2 weeks ago, message: Removed virtual environment files
a2c0fb9 was Ahbar Sakib, 3 weeks ago, message: Merge pull request #5 from msyukri-zaidin/ahbar_branch
c1373b1 was Ahbar Sakib, 3 weeks ago, message: Deleted the test text file
4435b9a was Syukri Zainal, 3 weeks ago, message: From merge
5f4f3b5 was Syukri Zainal, 3 weeks ago, message: Merge branch 'danish_branch'
d994393 was Syukri, 3 weeks ago, message: Merge pull request #3 from msyukri-zaidin/syukri_branch
7bc6d66 was Danish Firdaus, 3 weeks ago, message: Update result.js
c0a3348 was danish3r, 3 weeks ago, message: Delete home.html
418c86a was danish3r, 3 weeks ago, message: Delete home.js
e68695b was danish3r, 3 weeks ago, message: Delete mapify-2.png
c2555cb was danish3r, 3 weeks ago, message: Delete mapify-icon.png
4aad2b4 was danish3r, 3 weeks ago, message: Delete mapify-white.png
3984994 was danish3r, 3 weeks ago, message: Delete mapify.png
9b94549 was danish3r, 3 weeks ago, message: Delete mapify.psd
ae3d3ed was danish3r, 3 weeks ago, message: Delete mystyle.css
cadd695 was danish3r, 3 weeks ago, message: Delete pointingToMap.jpg
59f0310 was danish3r, 3 weeks ago, message: Delete worldMapSample.jpg
2756144 was danish3r, 3 weeks ago, message: Delete header.html
dd3302a was Danish Firdaus, 3 weeks ago, message: Update result.js
ef94488 was Danish Firdaus, 3 weeks ago, message: 4may
91c45a5 was Danish Firdaus, 3 weeks ago, message: Create result.js
2d84067 was Ahbar Sakib, 3 weeks ago, message: Adding the website logo
ef21ee4 was Ahbar Sakib, 3 weeks ago, message: Adding JavaScript for the google maps API request and with Jquery
cdd9a88 was Ahbar Sakib, 3 weeks ago, message: Added the css stylesheet for the quiz page
13da473 was Syukri Zainal, 3 weeks ago, message: Moved files
af25b55 was Syukri Zainal, 3 weeks ago, message: Initial commit
deab6c2 was Ahbar Sakib, 3 weeks ago, message: New layout for the quiz webpage
71f4bf4 was Ahbar Sakib, 3 weeks ago, message: Testing with googleMap API
289ca17 was Syukri Zainal, 3 weeks ago, message: Renamed file
dacb7d2 was Syukri Zainal, 3 weeks ago, message: Renamed file
cb433ec was Syukri Zainal, 3 weeks ago, message: Renamed file
d46c0cf was Syukri Zainal, 3 weeks ago, message: Initial commit
b7622a5 was Syukri Zainal, 3 weeks ago, message: Moved jQuery code from the html file to this file
4bc5d77 was Syukri Zainal, 3 weeks ago, message: Added more styling
284451a was Syukri Zainal, 3 weeks ago, message: Improved markup structure and removed JavaScript code
254c47a was Danish Firdaus, 4 weeks ago, message: update on 29/4/2020
9acc4f7 was Syukri Zainal, 7 weeks ago, message: First commit
